Sender-KntNr,Empfaenger-KntNr,Verwendungszweck,Betrag,Buchungsdatum
AT11 9371 9162 5540 3652,AT21 3259 6395 4314 9840,Leben,568.48,11.02.2017
AT00 3837 1294 3259 1959,AT80 0414 2633 0638 0714,Spende,672.20,10.05.2017
AT61 7283 8477 5641 3823,AT81 8069 2275 3090 5366,Spende,752.33,19.07.2018
AT31 5368 4239 0622 2678,AT57 0089 3636 6067 8915,Spende,323.68,15.04.2017
AT34 1779 1973 2337 2860,AT81 1104 3648 6492 1249,Aktien,583.32,27.01.2017
AT73 2816 5898 3126 3532,AT09 1239 5645 2894 7413,Spende,744.45,22.03.2017
AT57 0089 3636 6067 8915,AT34 1779 1973 2337 2860,Neueinrichtung,901.81,24.02.2017
AT37 2200 1453 3654 4508,AT85 7494 8192 8332 9402,Neueinrichtung,384.35,27.01.2017
AT95 5079 3033 2191 2643,AT52 4761 1464 4792 5682,Warenhandel,990.82,10.08.2017
AT73 7449 0172 9499 3958,AT27 4281 9942 0389 1927,,789.30,17.03.2018
AT78 4116 4634 9458 1407,AT71 8337 5842 2084 3742,Schulden,253.21,27.09.2018
AT05 1748 1837 7869 6873,AT85 7494 8192 8332 9402,Schulden,866.65,21.02.2017
AT80 0414 2633 0638 0714,AT73 0351 6823 5615 7175,,767.31,09.02.2017
AT82 8137 7112 6694 2806,AT55 8940 9044 2599 2567,Warenhandel,508.78,03.03.2017
AT52 4761 1464 4792 5682,AT27 4281 9942 0389 1927,Warenhandel,529.68,09.11.2017
AT25 2252 4773 6239 8605,AT83 2055 0343 5031 5242,Aktien,693.86,17.08.2017
AT71 8337 5842 2084 3742,AT83 4593 9652 1831 9309,Schulden,374.56,13.09.2017
AT05 1748 1837 7869 6873,AT81 1104 3648 6492 1249,Auto,291.25,08.03.2018
AT82 8137 7112 6694 2806,AT73 7449 0172 9499 3958,Leben,928.06,10.04.2017
AT85 9841 6026 7949 4737,AT34 9862 5121 9751 5569,Warenhandel,569.80,13.03.2017
AT87 4186 5190 8996 4168,AT89 1722 5241 3201 1443,Aktien,615.48,15.03.2017
AT05 1748 1837 7869 6873,AT37 2200 1453 3654 4508,Schulden,833.60,08.03.2018
AT71 7270 8831 6056 9024,AT34 9862 5121 9751 5569,Spende,143.04,01.02.2017
AT55 8940 9044 2599 2567,AT65 9915 4585 9244 5764,Neueinrichtung,919.86,18.01.2018
AT94 6088 9228 6351 2124,AT83 2055 0343 5031 5242,Schulden,427.69,09.09.2017
AT49 7869 6462 7722 2559,AT71 8337 5842 2084 3742,Aktien,632.42,14.09.2017
AT11 9371 9162 5540 3652,AT77 5714 5121 8373 3333,Schulden,237.67,19.05.2017
AT38 1771 0448 8518 9824,AT25 2252 4773 6239 8605,Auto,515.73,16.05.2017
AT76 6888 8605 9695 7795,AT50 5914 7535 5076 3985,Neueinrichtung,585.06,10.05.2017
AT09 1239 5645 2894 7413,AT78 4116 4634 9458 1407,Spende,971.49,23.07.2017
AT47 9309 4409 4792 4785,AT57 0089 3636 6067 8915,Neueinrichtung,838.60,14.03.2017
AT37 2200 1453 3654 4508,AT85 7494 8192 8332 9402,Spende,485.38,25.12.2018
AT57 6282 2830 8723 9867,AT48 4644 0976 8993 2171,Aktien,885.32,02.11.2017
AT89 1722 5241 3201 1443,AT08 8242 4149 1806 1191,Auto,347.59,16.11.2018
AT52 4761 1464 4792 5682,AT73 0351 6823 5615 7175,Warenhandel,910.97,01.07.2018
AT50 5914 7535 5076 3985,AT09 1239 5645 2894 7413,,169.86,16.03.2018
AT71 7270 8831 6056 9024,AT11 9371 9162 5540 3652,Schulden,852.57,10.10.2018
AT37 2200 1453 3654 4508,AT47 9309 4409 4792 4785,Warenhandel,726.42,06.08.2018
AT73 2816 5898 3126 3532,AT49 7869 6462 7722 2559,,321.45,26.04.2017
AT08 8242 4149 1806 1191,AT85 7494 8192 8332 9402,Leben,138.42,12.02.2017
AT82 8137 7112 6694 2806,AT34 2568 3484 0062 8014,Aktien,228.79,22.11.2017
AT65 9915 4585 9244 5764,AT81 1104 3648 6492 1249,Spende,363.78,11.06.2017
AT08 8242 4149 1806 1191,AT83 2055 0343 5031 5242,Spende,369.34,09.10.2017
AT77 5714 5121 8373 3333,AT34 9862 5121 9751 5569,Schulden,240.17,24.07.2018
AT89 1722 5241 3201 1443,AT78 6280 7841 3225 0685,Leben,756.98,22.10.2018
AT77 5714 5121 8373 3333,AT89 1722 5241 3201 1443,Spende,102.76,02.07.2018
AT08 8242 4149 1806 1191,AT11 8048 7611 7051 3113,Aktien,227.43,22.08.2017
AT73 2816 5898 3126 3532,AT76 6888 8605 9695 7795,Schulden,531.61,09.09.2017
AT52 4761 1464 4792 5682,AT47 9309 4409 4792 4785,Neueinrichtung,445.92,14.04.2017
AT82 8137 7112 6694 2806,AT85 7494 8192 8332 9402,Leben,508.12,08.10.2018
AT38 1771 0448 8518 9824,AT83 4593 9652 1831 9309,Spende,51.82,25.01.2018
AT17 4463 0026 7361 8389,AT21 3259 6395 4314 9840,Aktien,493.62,01.05.2018
AT50 5914 7535 5076 3985,AT71 7270 8831 6056 9024,Auto,431.82,16.05.2018
AT34 2568 3484 0062 8014,AT82 8137 7112 6694 2806,Schulden,930.08,01.01.2017
AT47 9309 4409 4792 4785,AT73 0351 6823 5615 7175,Neueinrichtung,232.51,27.07.2017
AT60 2383 6562 9293 9096,AT96 2315 8547 9857 4362,,209.94,19.10.2017
AT33 9460 1594 8170 4365,AT34 2568 3484 0062 8014,Neueinrichtung,364.84,16.02.2018
AT77 5714 5121 8373 3333,AT56 8206 6127 2233 7903,Leben,759.09,05.10.2018
AT73 4879 0209 4159 7619,AT30 9896 8538 8240 1931,Leben,349.51,09.06.2018
AT73 7449 0172 9499 3958,AT11 9371 9162 5540 3652,,858.30,25.02.2017
AT10 0760 7731 4855 1789,AT71 7270 8831 6056 9024,,556.39,08.03.2017
AT60 2383 6562 9293 9096,AT76 6888 8605 9695 7795,Aktien,652.35,14.11.2018
AT56 8206 6127 2233 7903,AT25 2252 4773 6239 8605,Auto,202.20,18.09.2017
AT11 9371 9162 5540 3652,AT81 8069 2275 3090 5366,Leben,759.55,10.11.2018
AT95 5079 3033 2191 2643,AT23 3627 5889 5495 9166,Neueinrichtung,442.13,08.01.2018
AT96 2315 8547 9857 4362,AT73 7449 0172 9499 3958,Warenhandel,15.42,26.09.2018
AT34 9862 5121 9751 5569,AT83 4593 9652 1831 9309,Spende,710.42,22.10.2018
AT81 1104 3648 6492 1249,AT76 6888 8605 9695 7795,Spende,998.44,09.03.2017
AT80 3954 6633 3875 0597,AT57 0089 3636 6067 8915,Auto,702.70,20.05.2017
AT71 7270 8831 6056 9024,AT73 2816 5898 3126 3532,Schulden,759.67,16.01.2017
AT80 3954 6633 3875 0597,AT95 5079 3033 2191 2643,Neueinrichtung,98.71,17.11.2018
AT47 9309 4409 4792 4785,AT82 8137 7112 6694 2806,Aktien,422.11,26.01.2017
AT67 5686 4643 8701 0396,AT49 7869 6462 7722 2559,Aktien,926.73,03.11.2018
AT87 4186 5190 8996 4168,AT34 1779 1973 2337 2860,Warenhandel,107.05,12.01.2017
AT34 9862 5121 9751 5569,AT89 1722 5241 3201 1443,Spende,636.82,28.06.2017
AT36 6263 5656 5947 3628,AT85 7494 8192 8332 9402,,597.27,09.02.2018
AT10 0760 7731 4855 1789,AT48 4644 0976 8993 2171,Schulden,385.20,07.11.2017
AT78 6280 7841 3225 0685,AT34 2568 3484 0062 8014,Warenhandel,841.70,23.02.2018
AT81 1104 3648 6492 1249,AT83 4593 9652 1831 9309,Leben,86.19,11.08.2017
AT82 8137 7112 6694 2806,AT30 9896 8538 8240 1931,,541.85,09.02.2017
AT81 8069 2275 3090 5366,AT46 4038 8451 6269 6532,Schulden,961.74,20.10.2017
AT45 2213 9912 6657 0320,AT31 5368 4239 0622 2678,Schulden,476.07,01.08.2018
AT67 5686 4643 8701 0396,AT83 4593 9652 1831 9309,,157.54,01.06.2017
AT78 6280 7841 3225 0685,AT47 9309 4409 4792 4785,,282.51,10.09.2017
AT81 8069 2275 3090 5366,AT71 7270 8831 6056 9024,Auto,406.18,25.10.2018
AT73 2816 5898 3126 3532,AT49 7869 6462 7722 2559,Aktien,294.24,10.02.2017
AT56 8206 6127 2233 7903,AT78 4116 4634 9458 1407,Leben,24.84,20.01.2017
AT45 2213 9912 6657 0320,AT37 2200 1453 3654 4508,Schulden,232.72,07.03.2018
AT99 3877 4273 7047 3592,AT00 3837 1294 3259 1959,Leben,97.87,23.05.2017
AT55 8940 9044 2599 2567,AT94 6088 9228 6351 2124,,546.94,19.01.2017
AT57 0089 3636 6067 8915,AT95 5079 3033 2191 2643,Schulden,5.68,15.12.2018
AT85 7494 8192 8332 9402,AT73 0351 6823 5615 7175,Spende,507.81,12.07.2018
AT67 5686 4643 8701 0396,AT50 5914 7535 5076 3985,,568.98,10.03.2017
AT81 8069 2275 3090 5366,AT46 4038 8451 6269 6532,Auto,317.82,11.12.2018
AT65 9915 4585 9244 5764,AT56 8206 6127 2233 7903,Schulden,194.47,25.06.2017
AT37 4165 0290 7991 9354,AT77 5714 5121 8373 3333,Spende,197.39,11.02.2017
AT31 5368 4239 0622 2678,AT76 6888 8605 9695 7795,Leben,262.20,28.11.2017
AT34 2568 3484 0062 8014,AT25 2252 4773 6239 8605,Leben,73.85,17.08.2018
AT10 0760 7731 4855 1789,AT57 0089 3636 6067 8915,Aktien,419.08,11.11.2017
AT73 4879 0209 4159 7619,AT96 2315 8547 9857 4362,Warenhandel,599.84,24.04.2017
AT76 6888 8605 9695 7795,AT60 2383 6562 9293 9096,Aktien,196.85,03.02.2017
AT83 4593 9652 1831 9309,AT95 5079 3033 2191 2643,Leben,558.66,14.12.2018
AT87 4186 5190 8996 4168,AT81 8069 2275 3090 5366,Aktien,0.84,13.10.2018
AT31 5368 4239 0622 2678,AT85 7494 8192 8332 9402,,738.97,26.09.2017
AT73 2816 5898 3126 3532,AT81 8069 2275 3090 5366,Schulden,170.21,24.10.2017
AT73 2816 5898 3126 3532,AT47 9309 4409 4792 4785,Neueinrichtung,108.62,26.08.2017
AT36 6263 5656 5947 3628,AT85 7494 8192 8332 9402,Warenhandel,871.55,04.11.2018
AT45 2213 9912 6657 0320,AT00 3837 1294 3259 1959,Neueinrichtung,729.76,14.02.2017
AT78 6280 7841 3225 0685,AT60 2383 6562 9293 9096,,780.13,24.06.2017
AT81 8069 2275 3090 5366,AT09 1239 5645 2894 7413,Spende,692.94,08.03.2018
AT80 0414 2633 0638 0714,AT81 8069 2275 3090 5366,Auto,832.82,15.04.2018
AT99 3877 4273 7047 3592,AT81 8069 2275 3090 5366,,628.45,06.08.2017
AT50 5914 7535 5076 3985,AT94 6088 9228 6351 2124,Spende,907.96,25.05.2017
AT65 9915 4585 9244 5764,AT27 4281 9942 0389 1927,Warenhandel,693.64,22.01.2018
AT08 8242 4149 1806 1191,AT73 7449 0172 9499 3958,Aktien,234.84,18.09.2018
AT96 2315 8547 9857 4362,AT94 6088 9228 6351 2124,Aktien,160.99,01.04.2017
AT21 3259 6395 4314 9840,AT99 3877 4273 7047 3592,Warenhandel,443.69,16.12.2018
AT48 4644 0976 8993 2171,AT81 8069 2275 3090 5366,Schulden,438.69,17.10.2018
AT65 9915 4585 9244 5764,AT83 4593 9652 1831 9309,,572.14,05.06.2018
AT47 9309 4409 4792 4785,AT52 4761 1464 4792 5682,Warenhandel,197.16,02.11.2018
AT25 2252 4773 6239 8605,AT34 9862 5121 9751 5569,Spende,667.13,04.08.2017
AT83 2055 0343 5031 5242,AT30 9896 8538 8240 1931,Spende,351.05,21.07.2017
AT58 0042 4020 9493 7961,AT83 2055 0343 5031 5242,Warenhandel,678.64,12.02.2017
AT78 6280 7841 3225 0685,AT55 8940 9044 2599 2567,Leben,38.08,22.12.2018
AT49 7869 6462 7722 2559,AT11 8048 7611 7051 3113,Spende,930.86,18.02.2018
AT58 0042 4020 9493 7961,AT65 9915 4585 9244 5764,,834.49,11.12.2018
AT99 3877 4273 7047 3592,AT65 9915 4585 9244 5764,Auto,864.52,03.04.2017
AT34 2568 3484 0062 8014,AT47 9309 4409 4792 4785,,853.00,09.05.2017
AT99 3877 4273 7047 3592,AT34 9862 5121 9751 5569,Leben,246.77,22.03.2017
AT46 4038 8451 6269 6532,AT49 7869 6462 7722 2559,Warenhandel,964.78,13.01.2017
AT58 0042 4020 9493 7961,AT81 1104 3648 6492 1249,,959.89,05.03.2017
AT34 1779 1973 2337 2860,AT82 8137 7112 6694 2806,Aktien,976.65,10.03.2017
AT17 4463 0026 7361 8389,AT46 4038 8451 6269 6532,,681.17,19.04.2018
AT32 3293 7887 1273 6568,AT25 2252 4773 6239 8605,Aktien,471.77,28.10.2018
AT34 9862 5121 9751 5569,AT89 1722 5241 3201 1443,Schulden,542.73,24.07.2017
AT10 0760 7731 4855 1789,AT37 4165 0290 7991 9354,Leben,646.12,26.06.2017
AT21 3259 6395 4314 9840,AT56 8206 6127 2233 7903,Warenhandel,784.35,13.02.2017
AT34 2568 3484 0062 8014,AT73 0351 6823 5615 7175,Leben,855.21,09.07.2018
AT31 5368 4239 0622 2678,AT34 1779 1973 2337 2860,Warenhandel,227.67,17.05.2017
AT81 1104 3648 6492 1249,AT47 9309 4409 4792 4785,,448.12,16.11.2017
AT00 3837 1294 3259 1959,AT25 2252 4773 6239 8605,Leben,791.17,26.12.2018
AT37 2200 1453 3654 4508,AT00 3837 1294 3259 1959,Spende,204.96,28.03.2017
AT71 8337 5842 2084 3742,AT30 9896 8538 8240 1931,Warenhandel,450.21,25.07.2018
AT11 9371 9162 5540 3652,AT89 1722 5241 3201 1443,Schulden,257.76,08.01.2018
AT37 4165 0290 7991 9354,AT34 1779 1973 2337 2860,Spende,824.21,02.11.2018
AT49 7869 6462 7722 2559,AT78 6280 7841 3225 0685,Leben,359.58,05.04.2018
AT89 1722 5241 3201 1443,AT56 8206 6127 2233 7903,Warenhandel,201.85,04.09.2017
AT55 8940 9044 2599 2567,AT73 2816 5898 3126 3532,Aktien,620.94,20.09.2017
AT87 6023 4362 1392 0577,AT57 0089 3636 6067 8915,Leben,777.48,19.09.2018
AT49 7869 6462 7722 2559,AT37 2200 1453 3654 4508,,64.41,21.12.2018
AT37 4165 0290 7991 9354,AT31 5368 4239 0622 2678,Auto,855.40,03.01.2018
AT77 0689 8601 7267 2419,AT76 6888 8605 9695 7795,Warenhandel,627.84,25.09.2018
AT83 2055 0343 5031 5242,AT09 1239 5645 2894 7413,Schulden,990.91,20.04.2018
AT73 4879 0209 4159 7619,AT77 5714 5121 8373 3333,,908.17,05.06.2017
AT36 6263 5656 5947 3628,AT50 5914 7535 5076 3985,,884.62,04.02.2018
AT94 6088 9228 6351 2124,AT83 4593 9652 1831 9309,Auto,669.93,07.07.2017
AT05 1748 1837 7869 6873,AT30 9896 8538 8240 1931,Auto,285.56,11.01.2018
AT45 2213 9912 6657 0320,AT34 2568 3484 0062 8014,Neueinrichtung,425.50,01.09.2018
AT73 2816 5898 3126 3532,AT56 8206 6127 2233 7903,Warenhandel,420.20,01.06.2018
AT31 5368 4239 0622 2678,AT21 3259 6395 4314 9840,Aktien,707.78,25.11.2018
AT11 9371 9162 5540 3652,AT73 2816 5898 3126 3532,Leben,75.92,14.05.2018
AT73 7449 0172 9499 3958,AT83 2055 0343 5031 5242,Leben,702.53,03.07.2017
AT61 7283 8477 5641 3823,AT73 2816 5898 3126 3532,Schulden,956.51,14.06.2018
AT31 5368 4239 0622 2678,AT96 2315 8547 9857 4362,Aktien,405.32,03.06.2017
AT78 6280 7841 3225 0685,AT96 2315 8547 9857 4362,,931.17,18.01.2018
AT80 0414 2633 0638 0714,AT81 1104 3648 6492 1249,Warenhandel,857.25,22.04.2017
AT46 4038 8451 6269 6532,AT57 0089 3636 6067 8915,,492.53,15.11.2017
AT57 6282 2830 8723 9867,AT85 7494 8192 8332 9402,Spende,382.44,12.12.2018
AT48 4644 0976 8993 2171,AT56 8206 6127 2233 7903,,285.29,05.01.2017
AT37 2200 1453 3654 4508,AT76 6888 8605 9695 7795,,853.08,12.02.2017
AT34 9862 5121 9751 5569,AT80 0414 2633 0638 0714,Neueinrichtung,98.47,24.10.2018
AT96 2315 8547 9857 4362,AT30 9896 8538 8240 1931,Neueinrichtung,925.52,05.07.2018
AT83 4593 9652 1831 9309,AT81 8069 2275 3090 5366,Auto,858.99,20.11.2017
AT73 7449 0172 9499 3958,AT80 0414 2633 0638 0714,Spende,746.58,14.11.2017
AT80 3954 6633 3875 0597,AT76 6888 8605 9695 7795,Spende,249.81,04.09.2017
AT73 7449 0172 9499 3958,AT27 4281 9942 0389 1927,Schulden,880.88,13.05.2017
AT80 3954 6633 3875 0597,AT94 6088 9228 6351 2124,Schulden,289.04,05.02.2018
AT78 6280 7841 3225 0685,AT73 0351 6823 5615 7175,Leben,853.79,11.11.2018
AT38 1771 0448 8518 9824,AT78 4116 4634 9458 1407,Aktien,41.25,19.08.2018
AT87 6023 4362 1392 0577,AT95 5079 3033 2191 2643,Warenhandel,36.76,07.11.2017
AT30 9896 8538 8240 1931,AT87 6023 4362 1392 0577,Aktien,24.52,10.02.2017
AT87 4186 5190 8996 4168,AT21 3259 6395 4314 9840,Auto,100.90,03.03.2017
AT94 6088 9228 6351 2124,AT30 9896 8538 8240 1931,Spende,730.87,18.06.2018
AT30 9896 8538 8240 1931,AT83 4593 9652 1831 9309,Warenhandel,749.10,03.01.2018
AT82 8137 7112 6694 2806,AT55 8940 9044 2599 2567,Spende,480.63,16.04.2018
AT83 4593 9652 1831 9309,AT65 9915 4585 9244 5764,Auto,325.70,07.06.2017
AT89 1722 5241 3201 1443,AT09 1239 5645 2894 7413,Schulden,490.06,25.04.2017
AT55 8940 9044 2599 2567,AT34 9862 5121 9751 5569,Auto,812.95,10.04.2017
AT61 7283 8477 5641 3823,AT30 9896 8538 8240 1931,Aktien,4.16,21.04.2017
AT47 9309 4409 4792 4785,AT23 3627 5889 5495 9166,Warenhandel,481.38,21.02.2018
AT23 3627 5889 5495 9166,AT00 3837 1294 3259 1959,,539.14,25.08.2018
AT57 0089 3636 6067 8915,AT73 7449 0172 9499 3958,Spende,814.17,04.09.2017
AT78 6280 7841 3225 0685,AT81 8069 2275 3090 5366,Warenhandel,928.90,21.06.2018
AT83 2055 0343 5031 5242,AT82 8137 7112 6694 2806,Auto,387.43,22.08.2017
AT77 0689 8601 7267 2419,AT73 0351 6823 5615 7175,,881.00,18.11.2018
AT38 1771 0448 8518 9824,AT81 1104 3648 6492 1249,Aktien,262.16,13.08.2018
AT82 8137 7112 6694 2806,AT73 0351 6823 5615 7175,Schulden,504.19,04.04.2017
AT61 7283 8477 5641 3823,AT76 6888 8605 9695 7795,Aktien,292.76,09.09.2018
AT45 2213 9912 6657 0320,AT81 1104 3648 6492 1249,,75.00,07.09.2017
AT05 1748 1837 7869 6873,AT96 2315 8547 9857 4362,,66.19,13.10.2017
AT11 9371 9162 5540 3652,AT76 6888 8605 9695 7795,Neueinrichtung,550.63,23.12.2018
AT76 6888 8605 9695 7795,AT34 1779 1973 2337 2860,Neueinrichtung,141.26,26.06.2018
AT48 4644 0976 8993 2171,AT21 3259 6395 4314 9840,Leben,538.95,23.09.2017
AT50 5914 7535 5076 3985,AT83 4593 9652 1831 9309,Aktien,84.30,27.09.2018
AT65 9915 4585 9244 5764,AT11 8048 7611 7051 3113,,246.00,05.09.2017
AT11 8048 7611 7051 3113,AT89 1722 5241 3201 1443,Schulden,823.86,24.04.2017
AT78 4116 4634 9458 1407,AT11 8048 7611 7051 3113,Warenhandel,438.09,05.10.2018
AT73 0351 6823 5615 7175,AT85 7494 8192 8332 9402,Warenhandel,111.95,14.06.2018
AT61 7283 8477 5641 3823,AT11 8048 7611 7051 3113,Spende,50.59,07.12.2018
AT81 8069 2275 3090 5366,AT46 4038 8451 6269 6532,Spende,174.75,17.08.2018
AT34 9862 5121 9751 5569,AT47 9309 4409 4792 4785,Spende,514.28,27.08.2017
AT82 8137 7112 6694 2806,AT30 9896 8538 8240 1931,Auto,297.07,19.02.2018
AT11 9371 9162 5540 3652,AT73 7449 0172 9499 3958,Warenhandel,50.59,05.09.2018
AT71 7270 8831 6056 9024,AT11 9371 9162 5540 3652,Neueinrichtung,671.86,04.09.2018
AT05 1748 1837 7869 6873,AT47 9309 4409 4792 4785,Spende,90.78,14.11.2018
AT21 3259 6395 4314 9840,AT08 8242 4149 1806 1191,Leben,958.56,18.02.2018
AT34 2568 3484 0062 8014,AT83 2055 0343 5031 5242,,902.85,26.04.2017
AT73 7449 0172 9499 3958,AT83 2055 0343 5031 5242,Neueinrichtung,771.44,25.03.2018
AT71 8337 5842 2084 3742,AT81 8069 2275 3090 5366,Schulden,995.45,09.07.2018
AT49 7869 6462 7722 2559,AT34 1779 1973 2337 2860,Neueinrichtung,349.74,21.02.2018
AT52 4761 1464 4792 5682,AT27 4281 9942 0389 1927,,439.01,05.05.2017
AT96 2315 8547 9857 4362,AT78 4116 4634 9458 1407,Auto,719.10,03.04.2018
AT65 9915 4585 9244 5764,AT60 2383 6562 9293 9096,Auto,880.41,17.08.2017
AT60 2383 6562 9293 9096,AT65 9915 4585 9244 5764,Auto,810.48,07.08.2017
AT37 2200 1453 3654 4508,AT99 3877 4273 7047 3592,Neueinrichtung,175.77,03.01.2018
AT78 4116 4634 9458 1407,AT34 1779 1973 2337 2860,Aktien,735.73,13.03.2017
AT48 4644 0976 8993 2171,AT34 9862 5121 9751 5569,Aktien,450.85,09.01.2018
AT67 5686 4643 8701 0396,AT81 8069 2275 3090 5366,,887.02,13.09.2017
AT78 4116 4634 9458 1407,AT52 4761 1464 4792 5682,Schulden,492.37,02.07.2017
AT52 4761 1464 4792 5682,AT08 8242 4149 1806 1191,Auto,65.05,11.11.2017
AT25 2252 4773 6239 8605,AT78 4116 4634 9458 1407,Neueinrichtung,780.58,25.12.2018
AT73 4879 0209 4159 7619,AT08 8242 4149 1806 1191,Spende,134.66,18.10.2017
AT37 4165 0290 7991 9354,AT09 1239 5645 2894 7413,Warenhandel,560.62,10.11.2018
AT71 7270 8831 6056 9024,AT81 1104 3648 6492 1249,Auto,853.59,09.08.2017
AT94 6088 9228 6351 2124,AT87 6023 4362 1392 0577,,717.35,23.01.2018
AT81 1104 3648 6492 1249,AT21 3259 6395 4314 9840,Warenhandel,629.07,16.08.2017
AT36 6263 5656 5947 3628,AT82 8137 7112 6694 2806,Neueinrichtung,812.90,02.08.2017
AT71 8337 5842 2084 3742,AT21 3259 6395 4314 9840,Warenhandel,31.77,15.04.2017
AT25 2252 4773 6239 8605,AT99 3877 4273 7047 3592,Schulden,597.61,19.07.2017
AT81 8069 2275 3090 5366,AT85 7494 8192 8332 9402,Spende,798.71,28.08.2017
AT56 8206 6127 2233 7903,AT50 5914 7535 5076 3985,Warenhandel,174.06,22.08.2017
AT10 0760 7731 4855 1789,AT94 6088 9228 6351 2124,Aktien,9.67,14.02.2017
AT80 3954 6633 3875 0597,AT09 1239 5645 2894 7413,Spende,534.90,26.03.2018
AT77 0689 8601 7267 2419,AT95 5079 3033 2191 2643,,31.36,23.04.2018
AT38 1771 0448 8518 9824,AT11 9371 9162 5540 3652,Leben,631.24,09.11.2018
AT21 3259 6395 4314 9840,AT76 6888 8605 9695 7795,,117.56,04.05.2017
AT81 8069 2275 3090 5366,AT30 9896 8538 8240 1931,Neueinrichtung,511.68,25.08.2018
AT11 8048 7611 7051 3113,AT25 2252 4773 6239 8605,Neueinrichtung,811.02,22.06.2017
AT46 4038 8451 6269 6532,AT73 0351 6823 5615 7175,Neueinrichtung,588.47,17.02.2018
AT32 3293 7887 1273 6568,AT46 4038 8451 6269 6532,Schulden,651.86,14.08.2018
AT48 4644 0976 8993 2171,AT08 8242 4149 1806 1191,Warenhandel,671.79,09.06.2017
AT09 1239 5645 2894 7413,AT95 5079 3033 2191 2643,Neueinrichtung,927.63,17.09.2017
AT33 9460 1594 8170 4365,AT30 9896 8538 8240 1931,Aktien,745.14,17.10.2018
AT58 0042 4020 9493 7961,AT08 8242 4149 1806 1191,Leben,76.83,10.02.2018
AT38 1771 0448 8518 9824,AT94 6088 9228 6351 2124,Schulden,227.59,25.10.2018
AT58 0042 4020 9493 7961,AT77 5714 5121 8373 3333,Leben,973.70,09.11.2017
AT73 2816 5898 3126 3532,AT46 4038 8451 6269 6532,Aktien,592.18,01.04.2018
AT33 9460 1594 8170 4365,AT55 8940 9044 2599 2567,Spende,229.21,09.05.2017
AT30 9896 8538 8240 1931,AT25 2252 4773 6239 8605,Auto,620.44,23.09.2018
AT89 1722 5241 3201 1443,AT76 6888 8605 9695 7795,,786.81,11.09.2018
AT56 8206 6127 2233 7903,AT34 1779 1973 2337 2860,Schulden,87.61,20.08.2018
AT77 5714 5121 8373 3333,AT83 2055 0343 5031 5242,Leben,645.13,10.02.2018
AT78 6280 7841 3225 0685,AT80 0414 2633 0638 0714,Auto,800.45,28.06.2017
AT77 5714 5121 8373 3333,AT47 9309 4409 4792 4785,Auto,962.44,24.04.2017
AT89 1722 5241 3201 1443,AT83 2055 0343 5031 5242,Schulden,86.10,28.03.2017
AT34 2568 3484 0062 8014,AT94 6088 9228 6351 2124,,743.94,24.06.2018
AT89 1722 5241 3201 1443,AT81 1104 3648 6492 1249,Schulden,80.63,15.01.2018
AT25 2252 4773 6239 8605,AT09 1239 5645 2894 7413,Neueinrichtung,522.73,24.06.2017
AT48 4644 0976 8993 2171,AT37 2200 1453 3654 4508,Aktien,715.00,03.01.2017
AT56 8206 6127 2233 7903,AT60 2383 6562 9293 9096,Neueinrichtung,572.56,09.01.2018
AT34 9862 5121 9751 5569,AT73 2816 5898 3126 3532,Warenhandel,891.43,22.03.2018
AT57 6282 2830 8723 9867,AT78 6280 7841 3225 0685,Spende,318.36,18.02.2018
AT52 4761 1464 4792 5682,AT34 2568 3484 0062 8014,Spende,943.63,09.03.2018
AT81 8069 2275 3090 5366,AT76 6888 8605 9695 7795,Spende,564.73,17.12.2018
AT82 8137 7112 6694 2806,AT80 0414 2633 0638 0714,Aktien,950.54,07.05.2017
AT56 8206 6127 2233 7903,AT31 5368 4239 0622 2678,Auto,690.09,27.04.2018
AT34 9862 5121 9751 5569,AT31 5368 4239 0622 2678,Aktien,361.12,03.03.2018
AT27 4281 9942 0389 1927,AT78 4116 4634 9458 1407,Spende,890.27,24.07.2017
AT78 4116 4634 9458 1407,AT73 2816 5898 3126 3532,Schulden,269.01,10.11.2017
AT46 4038 8451 6269 6532,AT56 8206 6127 2233 7903,Schulden,8.28,20.03.2017
AT46 4038 8451 6269 6532,AT73 7449 0172 9499 3958,Spende,425.71,18.06.2017
AT34 9862 5121 9751 5569,AT81 8069 2275 3090 5366,Schulden,908.66,21.05.2017
AT56 8206 6127 2233 7903,AT48 4644 0976 8993 2171,Schulden,537.18,26.11.2018
AT85 7494 8192 8332 9402,AT25 2252 4773 6239 8605,Leben,131.64,23.08.2017
AT27 4281 9942 0389 1927,AT81 8069 2275 3090 5366,Schulden,516.77,18.12.2018
AT83 2055 0343 5031 5242,AT31 5368 4239 0622 2678,,769.40,27.01.2018
AT73 2816 5898 3126 3532,AT00 3837 1294 3259 1959,,773.04,21.03.2018
AT77 0689 8601 7267 2419,AT47 9309 4409 4792 4785,,355.65,26.06.2018
AT71 7270 8831 6056 9024,AT76 6888 8605 9695 7795,Warenhandel,353.53,07.04.2018
AT95 5079 3033 2191 2643,AT78 4116 4634 9458 1407,Schulden,622.34,22.09.2018
AT33 9460 1594 8170 4365,AT71 7270 8831 6056 9024,Schulden,879.14,24.07.2017
AT57 6282 2830 8723 9867,AT30 9896 8538 8240 1931,Aktien,217.29,18.07.2017
